path,source,lastmod,category,action
/tips/545-1-ante-post-double-for-royal-ascot/,post,2026-05-22,Tip article,KEEP PATH
/tips/grand-national-2026-betting-preview/,post,2026-03-31,Tip article,KEEP PATH
/,page,2026-06-28,Core page,KEEP PATH
/new-betting-sites-uk/,page,2026-08-04,Core page,KEEP PATH
/tipster-stats/,page,2026-07-13,Core page,KEEP PATH
/horse-racing-tips-tuesday-23rd-june-2026/,page,2026-06-22,Dated daily tips,KEEP PATH
/betpro-iq-review/,page,2026-06-22,Core page,KEEP PATH
/racing-tips-today/,page,2026-06-19,Core page,KEEP PATH
/doncaster-racing-tips/,page,2026-06-14,Core page,KEEP PATH
/horse-racing-tips-saturday-13th-june-2026/,page,2026-06-13,Dated daily tips,KEEP PATH
/another-test/,page,2026-06-11,TEST PAGE,DROP - do not migrate
/epsom-derby-day-tips-2026/,page,2026-06-06,Core page,KEEP PATH
/epsom-oaks-day-horse-racing-tips/,page,2026-06-05,Core page,KEEP PATH
/horse-racing-tips-thursday-4th-june-2026/,page,2026-06-04,Dated daily tips,KEEP PATH
/horse-racing-tips-wednesday-3rd-june-2026/,page,2026-06-03,Dated daily tips,KEEP PATH
/horse-racing-tips-tuesday-2nd-june-2026/,page,2026-06-02,Dated daily tips,KEEP PATH
/horse-racing-tips-monday-1st-june-2026/,page,2026-06-01,Dated daily tips,KEEP PATH
/horse-racing-tips-sunday-31st-may-2026/,page,2026-05-31,Dated daily tips,KEEP PATH
/giddy-up-racing-club/,page,2026-05-30,Core page,KEEP PATH
/horse-racing-tips-saturday-30th-may-2026/,page,2026-05-30,Dated daily tips,KEEP PATH
/horse-racing-tips-friday-29th-may-2026/,page,2026-05-29,Dated daily tips,KEEP PATH
/horse-racing-tips-wednesday-27th-may-2026/,page,2026-05-27,Dated daily tips,KEEP PATH
/horse-racing-tips-tuesday-26th-may-2026/,page,2026-05-26,Dated daily tips,KEEP PATH
/horse-racing-tips-monday-25th-may-2026/,page,2026-05-25,Dated daily tips,KEEP PATH
/horse-racing-tips-sunday-24th-may-2026/,page,2026-05-24,Dated daily tips,KEEP PATH
/horse-racing-tips-saturday-23rd-may-2026/,page,2026-05-23,Dated daily tips,KEEP PATH
/horse-racing-tips-friday-22nd-may-2026/,page,2026-05-22,Dated daily tips,KEEP PATH
/horse-racing-tips-thursday-21st-may-2026/,page,2026-05-21,Dated daily tips,KEEP PATH
/horse-racing-tips-wednesday-20th-may-2026/,page,2026-05-20,Dated daily tips,KEEP PATH
/horse-racing-tips-tuesday-19th-may-2025/,page,2026-05-19,Dated daily tips,KEEP PATH
/horse-racing-tips-monday-18th-may-2026/,page,2026-05-18,Dated daily tips,KEEP PATH
/horse-racing-tips-sunday-17th-may-2026/,page,2026-05-17,Dated daily tips,KEEP PATH
/horse-racing-tips-saturday-16th-may-2026/,page,2026-05-16,Dated daily tips,KEEP PATH
/vip-membership/,page,2026-05-15,Core page,KEEP PATH
/race-card-page/,page,2026-05-14,TEMPLATE STUB,DROP - do not migrate
/fast-results/,page,2026-05-13,Racing data,KEEP PATH - rebuild
/lucky-63-bet-calculator/,page,2026-04-24,Calculator,KEEP PATH
/lucky-31-bet-calculator/,page,2026-04-24,Calculator,KEEP PATH
/yankee-bet-calculator/,page,2026-04-23,Calculator,KEEP PATH
/super-heinz-bet-calculator/,page,2026-04-23,Calculator,KEEP PATH
/todays-racecards/,page,2026-04-22,Racing data,KEEP PATH - rebuild
/double-bet-calculator/,page,2026-04-21,Calculator,KEEP PATH
/heinz-bet-calculator/,page,2026-04-21,Calculator,KEEP PATH
/patent-bet-calculator/,page,2026-04-20,Calculator,KEEP PATH
/each-way-acca-bet-calculator/,page,2026-04-20,Calculator,KEEP PATH
/lucky-15-bet-calculator/,page,2026-04-16,Calculator,KEEP PATH
/treble-bet-calculator/,page,2026-04-16,Calculator,KEEP PATH
/trixie-bet-calculator/,page,2026-04-16,Calculator,KEEP PATH
/free-bet-calculator/,page,2026-04-15,Calculator,KEEP PATH
/responsible-gambling/,page,2026-04-01,Core page,KEEP PATH
/nap-of-the-day/,page,2026-03-31,Core page,KEEP PATH
/grand-national-racecards/,page,2026-03-30,Grand National,KEEP PATH
/grand-national-fences/,page,2026-03-30,Grand National,KEEP PATH
/grand-national-aintree-racecourse/,page,2026-03-30,Grand National,KEEP PATH
/grand-national-betting-guide/,page,2026-03-30,Grand National,KEEP PATH
/grand-national/,page,2026-03-30,Grand National,KEEP PATH
/yesterday-racecard/,page,2026-03-27,Racing data,KEEP PATH - rebuild
/tomorrows-racecards/,page,2026-03-27,Racing data,KEEP PATH - rebuild
/racecards/,page,2026-03-27,Racing data,KEEP PATH - rebuild
/racecourses/,page,2026-03-27,Racing data,KEEP PATH - rebuild
/horse-racing/,page,2026-03-27,Racing data,KEEP PATH - rebuild
/racing-hub/,page,2026-03-27,Racing data,KEEP PATH - rebuild
/horse-detail-page/,page,2026-03-27,TEMPLATE STUB,DROP - do not migrate
/race-result-detail-page/,page,2026-03-24,TEMPLATE STUB,DROP - do not migrate
/results-listing-page/,page,2026-03-01,TEMPLATE STUB,DROP - do not migrate
/horse-profile-page/,page,2026-03-01,TEMPLATE STUB,DROP - do not migrate
/course-shortcode-test/,page,2026-02-23,TEST PAGE,DROP - do not migrate
/shortcode-test-jockeys-trainers-owners/,page,2026-02-15,TEST PAGE,DROP - do not migrate
/big-races/,page,2026-02-09,Core page,KEEP PATH
/race-detail-page-winner-announced/,page,2026-02-08,Core page,KEEP PATH
/race-detail-test-page/,page,2026-02-08,TEST PAGE,DROP - do not migrate
/betting/50-back-up-to-25/,betting,2026-07-15,Offer page,KEEP PATH
/betting/bet-10-get-30-in-free-bets-2/,betting,2026-05-27,Offer page,KEEP PATH
/betting/bet-5-get-30-in-free-bets/,betting,2026-05-27,Offer page,KEEP PATH
/betting/2243-2/,betting,2026-05-27,Offer page,KEEP PATH
/betting/bet-10-get-30-in-free-bets/,betting,2026-05-11,Offer page,KEEP PATH
/betting/pricedup/,betting,2026-05-11,Offer page,KEEP PATH
/category/grand-national/,category,2026-03-31,Category,KEEP PATH
/category/tips/,category,2026-05-22,Category,KEEP PATH
/category/royal-ascot/,category,2026-05-22,Category,KEEP PATH
